test	motive
item	itemLabel
http://www.wikidata.org/entity/Q316	愛
http://www.wikidata.org/entity/Q79871	怒り
http://www.wikidata.org/entity/Q153641	激怒
http://www.wikidata.org/entity/Q169251	悲しみ
http://www.wikidata.org/entity/Q208195	快感
http://www.wikidata.org/entity/Q209722	認知的不協和
http://www.wikidata.org/entity/Q335046	熱情
http://www.wikidata.org/entity/Q362547	Q362547
http://www.wikidata.org/entity/Q516519	Q516519
http://www.wikidata.org/entity/Q616314	関心
http://www.wikidata.org/entity/Q644302	動機づけ
http://www.wikidata.org/entity/Q775842	欲
http://www.wikidata.org/entity/Q851918	礼拝
http://www.wikidata.org/entity/Q913668	人見知り
http://www.wikidata.org/entity/Q977433	Q977433
http://www.wikidata.org/entity/Q1320124	Q1320124
http://www.wikidata.org/entity/Q1412160	同情
http://www.wikidata.org/entity/Q2429539	Q2429539
http://www.wikidata.org/entity/Q2728730	感謝
http://www.wikidata.org/entity/Q3935810	リラクゼーション (心理学)
http://www.wikidata.org/entity/Q4884527	所属欲求
http://www.wikidata.org/entity/Q5928045	アンビバレンス
http://www.wikidata.org/entity/Q7016484	Q7016484
http://www.wikidata.org/entity/Q7318107	Q7318107
http://www.wikidata.org/entity/Q7515398	Q7515398
http://www.wikidata.org/entity/Q13200681	Q13200681
http://www.wikidata.org/entity/Q16515248	Q16515248
http://www.wikidata.org/entity/Q16546994	Q16546994
http://www.wikidata.org/entity/Q16748867	Q16748867
http://www.wikidata.org/entity/Q16748888	高度な感情
http://www.wikidata.org/entity/Q28481737	Q28481737
http://www.wikidata.org/entity/Q48967955	Q48967955
http://www.wikidata.org/entity/Q58354861	Q58354861
http://www.wikidata.org/entity/Q58355338	Q58355338
http://www.wikidata.org/entity/Q60539479	肯定的感情
http://www.wikidata.org/entity/Q60539481	否定的感情
http://www.wikidata.org/entity/Q63809006	Q63809006
http://www.wikidata.org/entity/Q64700236	Q64700236
