格闘家ボブ・サップの出身国はどこでしょう?	アメリカ合衆国
ロシア語で「城」という意味がある、ロシアの大統領府の別名は何でしょう?	クレムリン
織田信長、豊臣秀吉、徳川家康という3人の戦国武将の性格を表現するのに用いられる鳥はなんでしょう?	ホトトギス
人気タレント・タモリの本名は何でしょう?	森田一義
「国際連合」の旗に描かれている植物といったら何でしょう?	オリーブ
アンデルセンの自叙伝とも言われている物語で、いじめられっこが実は白鳥だったというお話はなんでしょう?	みにくいアヒルの子
男性の声の音域で、テノールとバスの間に当たるのは何でしょう?	バリトン
中華料理の飲茶で使われる、軽食やお菓子のことを何というでしょう?	点心
「たけやぶやけた」などのように、前から読んでも後ろから読んでも同じになる文書を何というでしょう?	回文
別名を『ラ・ジョコンダ』という、レオナルド・ダ・ヴィンチが描いた絵画といえばなんでしょう?	モナ・リザ
「東京湾」は2つの半島に囲まれていますが、それは房総半島と何半島でしょう?	三浦半島
1840年に勃発し、香港がイギリスに割譲される結果に終わった戦争を、原因となった麻薬から何というでしょう?	阿片戦争
気象用語で「平年」といえば、過去何年間の平均値のことでしょう?	30年
1号は本郷猛、2号は一文字隼人がその正体である、テレビヒーローといえばなんでしょう?	仮面ライダー
日本国憲法に定められている国民の三大義務とは、勤労、教育と何でしょう?	租税
太棹、中棹、細棹といえば、どんな楽器の種類でしょう?	三味線
代表作に『日本の黒い霧』や『点と線』などがある、推理作家は誰でしょう?	松本清張
1934年には天然記念物に指定された、学名を「ニッポニア・ニッポン」という鳥はなんでしょう?	トキ
火を神聖視するために「拝火教」の別名がある、紀元前6世紀のペルシアで始まった宗教は何教でしょう?	ゾロアスター教
他には影響を及ぼさない、狭い範囲でのもめ事のことを、「何の中の嵐」というでしょう?	コップ
